name,phone,address,category,city,source
"Technospy Technologies Pvt Ltd Biometric, Automation & Boom Barrier",8275854097,"Office No-5, Second Floor, Sonchapha Building, Hinjewadi - Wakad Rd, Kasturi Chowk, Phase 1, Rajiv Gandhi Infotech Park, Wakad, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057",Security system supplier,Pune,Google Maps
"Technospy Security Services Biometric, Smart Entry, Boom Barrier & Automation",8788538939,"Office No-105, First Floor Deshmukh Complex Dange Chowk Road, Hinjawadi Rd, near Pandit Petrol Pump Tathawade, Pune, Pimpri-Chinchwad, Maharashtra 411057",Security system supplier,Pune,Google Maps
Ratnadeep Enterprises,9067716555,"Backside of, Amar Tech Park, Gravity Commercial Complex, Patil Nagar, Balewadi, Pune, Maharashtra 411045",Security system supplier,Pune,Google Maps
"Techno Eye - CCTV Camera & Installation, Structured Cabling Services, Biometric Attendance Machine, Door Access In Pune",9172219065,"BR2/402, COMPLEX-1, Shubhashri Residency, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035",Computer support and services,Pune,Google Maps
Master Access Technical service and solutions,8369651562,"Walhekarwadi, Sector No. 33, Nigdi, Pune, Pimpri-Chinchwad, Maharashtra 411033",Home automation company,Pune,Google Maps
Altroz Technologies Pvt. Ltd | HRMS Services in Pune,8446337392,"Office 707, Suratwala Mark Plazzo, Hinjewadi - Wakad Rd, Wakad, Hinjawadi, Maharashtra 411057",Software company,Pune,Google Maps
Monarch Technology,9970013577,"Geetai Aangan, B-403, Waghere Colony 4th Rd, Waghere Colony Number 2, Shivdatta Nagar, Pimpri Gaon, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017",Security system supplier,Pune,Google Maps
Quantian Technologies,9322384609,"suratwala mark plazzo, Hinjawadi, Pune, Hinjawadi, Maharashtra 411057",Software company,Pune,Google Maps
Valisha Technologies Pvt Ltd ( Head Office ),7498046940,"8th Floor, Solitaire Business Hub baner Office No, 812 - A, Pune, Maharashtra 411045",Software company,Pune,Google Maps
EuroSchool Wakad - CBSE School,8069832142,"Survey No. 81 (Part), Wakad Marunji Road, Landmark:, Bhumkar Chowk, Wakad, Pimpri-Chinchwad, Maharashtra 411057",Educational institution,Pune,Google Maps
International Institute of Information Technology,02022933441,"P-14, Phase 1, Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Hinjawadi, Maharashtra 411057",College,Pune,Google Maps
IntelliBI,7498756891,"No 21/1A, Sagar Complex, First Floor, Dange Chowk Rd, near Prerana Bank, Jai Hind nagar, Thergaon, Pune, Pimpri-Chinchwad, Maharashtra 411033",Software Training Institute,Pune,Google Maps
RBS Electrical and CCTV system,9422461319,"SajjanGad colony nakhate waste Rahatani, near swami Vivekananda School, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017",Electrician,Pune,Google Maps
Ambaginfo,8668443627,"JAI GANESH VISION, Shubhashri Residency, Ganga Nagar, Akurdi, Pune, Pimpri-Chinchwad, Maharashtra 411035",Security system supplier,Pune,Google Maps
ABC - Boom Barrier Manufacturers,9890224945,"Shop no 1 ground floor, Brt Road, pk chowk, S.No. 152, 3, Wakad - Bhosari BRTS Rd, opp. Axis bank, Pimple Saudagar, Pune, Maharashtra 411027",Manufacturer; Security system supplier,Pune,Google Maps
Thikana,8530325444,"402, 403, 4 Floor, White Square Building, 401, Hinjawadi Rd, Hinjawadi, Pune, Hinjawadi, Maharashtra 411057",Bar tabac,Pune,Google Maps
Universal Science Academy,9623791002,"near Jai Hind Junior College, Shastri Nagar, Pimpri Colony, Pune, Pimpri-Chinchwad, Maharashtra 411017",Coaching Center,Pune,Google Maps
M-Tech Innovations LTD,02022932020,"Plot - 1/2, near Cognizant, Phase 1, Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Hinjawadi, Maharashtra 411057",Manufacturer,Pune,Google Maps
"Vision Systems - Biometrics | Fingerprint | CCTV Camera System in Bhosari, Pimpri Chinchwad, Pune",9850407846,"Office No.04, Mehata Complex, near Vatsalya Hospital, Vikas Colony, Landewadi, Bhosari, Pimpri-Chinchwad, Maharashtra 411039",Fingerprinting Service Provider,Pune,Google Maps
Aadhaar Enrolment Center ( Nagubhau Barne School ) Thergaon,9373384614,"16 Number, Bus Stop, opposite to 16 Number, behind Santosh Mangal Karyalay, Belthika Nagar, Thergaon, Pimpri-Chinchwad, Maharashtra 411033",Aadhaar center,Pune,Google Maps
